date,temperature,moisture,growth_stage,pump
2022-01-01,19.2,674,3,0
2022-01-02,18.5,579,2,0
2022-01-03,16.2,697,2,0
2022-01-04,16.3,828,1,0
2022-01-05,17.2,564,2,0
2022-01-06,18.2,564,1,0
2022-01-07,19.5,836,2,0
2022-01-08,20.7,715,2,0
2022-01-09,23.2,529,1,1
2022-01-10,19.3,681,1,0
2022-01-11,19.7,530,1,0
2022-01-12,22.1,530,2,1
2022-01-13,23.1,636,2,1
2022-01-14,20.2,313,3,1
2022-01-15,16.6,341,1,0
2022-01-16,14.9,515,2,0
2022-01-17,14.2,448,2,0
2022-01-18,14.4,647,1,0
2022-01-19,14.9,463,3,0
2022-01-20,15.2,388,1,0
2022-01-21,13.3,819,3,0
2022-01-22,15.8,566,2,0
2022-01-23,18.9,610,3,0
2022-01-24,19.3,386,2,0
2022-01-25,19.9,518,1,0
2022-01-26,20.7,616,1,1
2022-01-27,16.5,427,1,0
2022-01-28,16.0,656,3,0
2022-01-29,18.1,509,2,0
2022-01-30,18.5,556,1,0
2022-01-31,18.2,509,1,0
2022-02-01,16.0,877,2,0
2022-02-02,19.8,597,1,0
2022-02-03,22.0,441,2,1
2022-02-04,20.4,723,2,0
2022-02-05,14.9,416,2,0
2022-02-06,16.4,631,2,0
2022-02-07,18.1,306,2,0
2022-02-08,20.6,400,3,1
2022-02-09,23.0,629,1,1
2022-02-10,22.7,710,3,0
2022-02-11,19.2,625,1,0
2022-02-12,17.1,582,3,0
2022-02-13,16.4,554,2,0
2022-02-14,18.4,378,1,0
2022-02-15,22.1,492,1,1
2022-02-16,22.4,530,3,1
2022-02-17,21.8,758,3,0
2022-02-18,22.8,651,1,1
2022-02-19,18.6,335,3,0
2022-02-20,16.1,648,3,0
2022-02-21,17.6,542,3,0
2022-02-22,21.6,498,2,1
2022-02-23,23.6,691,2,1
2022-02-24,25.1,754,3,0
2022-02-25,24.3,739,3,0
2022-02-26,20.3,474,2,1
2022-02-27,21.7,553,2,1
2022-02-28,23.9,649,1,1
2022-03-01,26.3,746,1,0
2022-03-02,27.4,528,2,1
2022-03-03,27.3,572,3,1
2022-03-04,26.7,434,3,1
2022-03-05,24.6,420,3,1
2022-03-06,27.4,721,3,0
2022-03-07,28.0,803,1,0
2022-03-08,27.7,589,2,1
2022-03-09,29.5,750,3,0
2022-03-10,28.9,654,1,1
2022-03-11,25.7,503,3,1
2022-03-12,25.9,654,2,1
2022-03-13,25.8,830,1,0
2022-03-14,25.9,594,2,1
2022-03-15,22.3,834,2,0
2022-03-16,17.2,207,1,0
2022-03-17,16.9,723,1,0
2022-03-18,21.0,613,1,1
2022-03-19,24.8,555,1,1
2022-03-20,26.2,613,1,1
2022-03-21,25.9,301,1,1
2022-03-22,26.2,567,1,1
2022-03-23,25.8,653,3,0
2022-03-24,23.1,821,2,0
2022-03-25,20.1,522,1,1
2022-03-26,21.2,478,3,1
2022-03-27,22.8,524,3,1
2022-03-28,24.9,737,3,0
2022-03-29,25.6,649,2,1
2022-03-30,27.4,520,1,1
2022-03-31,29.5,676,3,0
2022-04-01,30.4,614,2,1
2022-04-02,30.4,745,2,0
2022-04-03,30.9,494,2,1
2022-04-04,31.6,550,3,1
2022-04-05,31.8,541,1,1
2022-04-06,32.7,380,3,1
2022-04-07,32.4,644,3,0
2022-04-08,32.3,639,1,1
2022-04-09,32.4,600,1,1
2022-04-10,32.6,564,1,1
2022-04-11,32.9,387,2,1
2022-04-12,32.1,536,1,1
2022-04-13,32.2,548,3,1
2022-04-14,32.2,479,1,1
2022-04-15,31.8,575,3,1
2022-04-16,31.8,660,2,1
2022-04-17,32.2,882,3,0
2022-04-18,32.9,626,3,0
2022-04-19,34.2,638,1,1
2022-04-20,33.7,588,1,1
2022-04-21,33.1,312,3,1
2022-04-22,31.1,596,1,1
2022-04-23,30.3,609,2,1
2022-04-24,30.6,969,2,0
2022-04-25,30.1,571,1,1
2022-04-26,30.3,645,2,1
2022-04-27,24.3,594,1,1
2022-04-28,24.7,424,3,1
2022-04-29,29.2,771,3,0
2022-04-30,32.1,712,2,0
2022-05-01,32.8,718,1,0
2022-05-02,32.9,463,1,1
2022-05-03,34.4,810,2,0
2022-05-04,35.5,389,3,1
2022-05-05,33.6,688,2,1
2022-05-06,30.8,928,3,0
2022-05-07,30.1,451,1,1
2022-05-08,31.4,515,3,1
2022-05-09,32.5,614,2,1
2022-05-10,33.4,524,1,1
2022-05-11,33.5,367,2,1
2022-05-12,34.8,610,2,1
2022-05-13,35.1,440,3,1
2022-05-14,35.4,671,2,1
2022-05-15,35.6,462,3,1
2022-05-16,36.7,832,1,0
2022-05-17,37.3,482,3,1
2022-05-18,37.2,551,1,1
2022-05-19,37.7,722,3,0
2022-05-20,37.8,415,2,1
2022-05-21,37.8,634,3,0
2022-05-22,37.5,796,3,0
2022-05-23,35.7,358,1,1
2022-05-24,34.6,627,2,1
2022-05-25,35.4,638,3,0
2022-05-26,35.8,717,2,0
2022-05-27,35.2,414,3,1
2022-05-28,35.4,401,3,1
2022-05-29,35.6,678,2,1
2022-05-30,36.2,644,3,0
2022-05-31,36.4,637,2,1
2022-06-01,37.4,651,3,0
2022-06-02,37.2,497,1,1
2022-06-03,38.1,634,2,1
2022-06-04,37.3,643,3,0
2022-06-05,37.7,492,3,1
2022-06-06,38.7,879,1,0
2022-06-07,38.9,671,2,1
2022-06-08,39.1,421,3,1
2022-06-09,40.4,698,1,1
2022-06-10,40.5,453,3,1
2022-06-11,40.4,718,2,0
2022-06-12,39.9,773,3,0
2022-06-13,38.3,476,3,1
2022-06-14,37.7,744,3,0
2022-06-15,37.6,661,3,0
2022-06-16,38.5,723,1,0
2022-06-17,39.1,884,1,0
2022-06-18,39.8,563,2,1
2022-06-19,40.4,486,1,1
2022-06-20,41.2,466,1,1
2022-06-21,41.5,477,2,1
2022-06-22,39.8,588,1,1
2022-06-23,38.0,651,1,1
2022-06-24,38.9,641,2,1
2022-06-25,38.6,724,2,0
2022-06-26,37.7,601,2,1
2022-06-27,37.2,818,3,0
2022-06-28,37.1,560,3,1
2022-06-29,36.4,1008,2,0
2022-06-30,36.3,693,2,1
2022-07-01,35.8,471,2,1
2022-07-02,35.4,439,3,1
2022-07-03,34.9,672,3,0
2022-07-04,34.9,566,1,1
2022-07-05,35.4,707,1,0
2022-07-06,35.3,670,2,1
2022-07-07,36.0,589,3,1
2022-07-08,36.2,472,3,1
2022-07-09,35.8,372,3,1
2022-07-10,35.7,533,2,1
2022-07-11,37.3,728,1,0
2022-07-12,38.1,632,2,1
2022-07-13,38.0,413,1,1
2022-07-14,37.8,625,1,1
2022-07-15,37.4,657,2,1
2022-07-16,37.7,467,1,1
2022-07-17,37.9,623,1,1
2022-07-18,37.8,608,3,0
2022-07-19,39.2,428,1,1
2022-07-20,40.9,653,2,1
2022-07-21,41.0,684,2,1
2022-07-22,41.2,762,1,0
2022-07-23,42.1,758,3,0
2022-07-24,38.8,393,3,1
2022-07-25,35.8,459,1,1
2022-07-26,37.0,677,1,1
2022-07-27,37.7,677,2,1
2022-07-28,38.6,677,1,1
2022-07-29,39.3,1023,3,0
2022-07-30,39.3,685,1,1
2022-07-31,38.8,770,2,0
2022-08-01,38.0,743,2,0
2022-08-02,36.8,697,2,1
2022-08-03,34.8,552,2,1
2022-08-04,35.4,713,2,0
2022-08-05,34.1,484,1,1
2022-08-06,34.9,564,1,1
2022-08-07,36.2,527,1,1
2022-08-08,36.3,612,1,1
2022-08-09,39.1,947,2,0
2022-08-10,38.5,319,3,1
2022-08-11,39.6,702,1,0
2022-08-12,38.4,358,3,1
2022-08-13,37.2,529,1,1
2022-08-14,36.6,763,1,0
2022-08-15,37.0,609,3,0
2022-08-16,39.5,438,2,1
2022-08-17,38.9,492,1,1
2022-08-18,38.7,701,1,0
2022-08-19,36.1,490,1,1
2022-08-20,36.7,632,3,0
2022-08-21,37.1,606,2,1
2022-08-22,36.3,502,3,1
2022-08-23,36.3,921,3,0
2022-08-24,37.2,695,2,1
2022-08-25,36.9,296,3,1
2022-08-26,37.6,627,2,1
2022-08-27,37.3,500,1,1
2022-08-28,37.0,727,2,0
2022-08-29,37.6,481,1,1
2022-08-30,38.1,582,3,1
2022-08-31,37.8,675,3,0
2022-09-01,38.1,729,1,0
2022-09-02,35.2,419,3,1
2022-09-03,36.7,549,2,1
2022-09-04,37.6,528,1,1
2022-09-05,38.3,502,3,1
2022-09-06,38.6,864,1,0
2022-09-07,38.2,660,2,1
2022-09-08,38.1,410,2,1
2022-09-09,37.8,737,3,0
2022-09-10,38.0,918,2,0
2022-09-11,38.2,754,1,0
2022-09-12,38.2,372,2,1
2022-09-13,38.2,527,1,1
2022-09-14,37.0,790,1,0
2022-09-15,37.1,493,2,1
2022-09-16,37.3,666,3,0
2022-09-17,37.1,716,2,0
2022-09-18,36.0,460,1,1
2022-09-19,36.2,591,1,1
2022-09-20,34.1,113,2,1
2022-09-21,31.8,446,3,1
2022-09-22,31.2,562,3,1
2022-09-23,34.4,412,1,1
2022-09-24,35.9,844,1,0
2022-09-25,35.4,385,3,1
2022-09-26,33.8,533,2,1
2022-09-27,33.4,619,1,1
2022-09-28,33.3,816,1,0
2022-09-29,33.5,384,3,1
2022-09-30,32.5,774,2,0
2022-10-01,32.1,601,3,0
2022-10-02,32.1,452,2,1
2022-10-03,32.4,669,2,1
2022-10-04,33.2,629,2,1
2022-10-05,33.4,509,1,1
2022-10-06,33.2,610,3,0
2022-10-07,32.4,542,3,1
